epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,3906.6,1.22306,2.10596,1.09795,1.46965,0,0.70173,0.65775,0.68594,0.42243,0.71401,0.66417,0.69197,0.4018,1.38184,2.39168,1.29218,1.48842,0,0.001538,0.001538,0.001538
30,4041.27,1.22349,2.09373,1.10463,1.46023,0,0.69438,0.63181,0.67419,0.42433,0.72182,0.62246,0.67544,0.40232,1.35256,2.46967,1.27847,1.4458,0,0.0015215,0.0015215,0.0015215
31,4175.69,1.20125,2.06052,1.07117,1.45248,0,0.71146,0.62499,0.68466,0.42845,0.71767,0.62995,0.68818,0.4154,1.37527,2.3379,1.24925,1.45537,0,0.001505,0.001505,0.001505
32,4310.37,1.21576,2.05791,1.06692,1.45464,0,0.69609,0.65989,0.68294,0.41883,0.71046,0.65455,0.68888,0.3962,1.40064,2.39095,1.27936,1.45624,0,0.0014885,0.0014885,0.0014885
33,4444.18,1.18403,2.0475,1.05411,1.43733,0,0.71666,0.65734,0.69664,0.4384,0.70478,0.67916,0.70019,0.4195,1.36205,2.35579,1.19239,1.43963,0,0.001472,0.001472,0.001472
34,4575.38,1.18446,2.05094,1.05473,1.4408,0,0.69519,0.67487,0.69723,0.43287,0.70368,0.67304,0.69622,0.40292,1.37518,2.3915,1.26463,1.4497,0,0.0014555,0.0014555,0.0014555
35,4706.64,1.17747,2.00902,1.01368,1.43729,0,0.71905,0.65969,0.69899,0.43889,0.73319,0.66631,0.70442,0.41545,1.36105,2.31317,1.18792,1.4364,0,0.001439,0.001439,0.001439
36,4840.83,1.18251,2.06447,1.05453,1.44642,0,0.71621,0.63162,0.68341,0.43977,0.72349,0.63804,0.68168,0.41324,1.35594,2.36251,1.22156,1.42974,0,0.0014225,0.0014225,0.0014225
37,4974.27,1.16977,2.00757,1.00754,1.43449,0,0.70655,0.65407,0.69253,0.42791,0.71477,0.65241,0.68721,0.40507,1.37647,2.35164,1.18208,1.47415,0,0.001406,0.001406,0.001406
38,5105.5,1.15402,1.97503,0.99779,1.41214,0,0.68408,0.64381,0.69289,0.44027,0.69481,0.65499,0.69879,0.4263,1.36549,2.32796,1.19955,1.45015,0,0.0013895,0.0013895,0.0013895
39,5237.48,1.15166,1.99652,0.99618,1.42164,0,0.69968,0.65027,0.68367,0.43176,0.71239,0.64171,0.68142,0.40632,1.34501,2.38841,1.25762,1.43099,0,0.001373,0.001373,0.001373
40,5370.46,1.15666,2.02729,1.00064,1.42598,0,0.69275,0.65775,0.68348,0.43342,0.69702,0.65775,0.68668,0.41104,1.34529,2.35298,1.20499,1.43231,0,0.0013565,0.0013565,0.0013565
41,5508.6,1.14152,1.97231,0.97597,1.40212,0,0.69235,0.66952,0.69224,0.44921,0.69678,0.6738,0.69638,0.42887,1.30949,2.32899,1.17041,1.40687,0,0.00134,0.00134,0.00134
42,5653.67,1.15927,1.97813,0.99003,1.41707,0,0.70522,0.65561,0.69487,0.44596,0.75515,0.63636,0.69762,0.42363,1.31743,2.31714,1.19639,1.41087,0,0.0013235,0.0013235,0.0013235
43,5792.35,1.13602,1.94403,0.97352,1.39482,0,0.74244,0.63957,0.69817,0.4444,0.7445,0.63743,0.70052,0.41655,1.33365,2.26903,1.15955,1.44525,0,0.001307,0.001307,0.001307
44,5932.61,1.12229,1.97664,0.95285,1.39959,0,0.71719,0.66451,0.70067,0.45832,0.74786,0.66301,0.71003,0.42733,1.30212,2.32135,1.17571,1.39984,0,0.0012905,0.0012905,0.0012905
45,6070.7,1.12944,1.96341,0.95243,1.39694,0,0.73251,0.67059,0.70695,0.44693,0.73499,0.6631,0.6992,0.4253,1.32399,2.32676,1.14759,1.41725,0,0.001274,0.001274,0.001274
46,6207.28,1.10861,1.91498,0.92706,1.38696,0,0.75891,0.63743,0.70092,0.45262,0.76698,0.65477,0.71186,0.42992,1.31135,2.27163,1.11791,1.4217,0,0.0012575,0.0012575,0.0012575
47,6343.97,1.09999,1.8875,0.90776,1.38223,0,0.72208,0.70026,0.72414,0.4637,0.73722,0.70267,0.72508,0.44691,1.32142,2.26807,1.10169,1.41838,0,0.001241,0.001241,0.001241
48,6477,1.0931,1.91769,0.9088,1.37657,0,0.70713,0.67059,0.70562,0.45414,0.71967,0.66994,0.70412,0.43375,1.29749,2.33243,1.12248,1.40277,0,0.0012245,0.0012245,0.0012245
49,6607.32,1.10956,1.88187,0.90587,1.38221,0,0.71285,0.67705,0.70296,0.45167,0.72299,0.68668,0.70816,0.43034,1.35187,2.3277,1.11174,1.43835,0,0.001208,0.001208,0.001208
50,6741.66,1.09305,1.89097,0.91289,1.36223,0,0.77763,0.66417,0.71703,0.46716,0.78859,0.67421,0.72715,0.43649,1.28498,2.28731,1.09123,1.40187,0,0.0011915,0.0011915,0.0011915
51,6875.89,1.08172,1.9005,0.88876,1.35835,0,0.72665,0.7123,0.72603,0.47378,0.73231,0.71658,0.73141,0.45225,1.30216,2.22983,1.09151,1.40238,0,0.001175,0.001175,0.001175
52,7008.05,1.09146,1.86621,0.93017,1.36397,0,0.73824,0.70588,0.73369,0.47582,0.7527,0.70313,0.73488,0.45172,1.28172,2.29118,1.05857,1.39276,0,0.0011585,0.0011585,0.0011585
53,7140.37,1.07863,1.90051,0.92278,1.36641,0,0.74915,0.69947,0.72552,0.47134,0.75616,0.70314,0.72195,0.43926,1.27899,2.31777,1.09043,1.39259,0,0.001142,0.001142,0.001142
54,7274.16,1.0921,1.88547,0.89782,1.36623,0,0.7428,0.68877,0.73428,0.47476,0.74626,0.69198,0.73268,0.45027,1.26508,2.31033,1.07682,1.38807,0,0.0011255,0.0011255,0.0011255
55,7407.5,1.08739,1.88201,0.89206,1.35802,0,0.74692,0.70695,0.73732,0.48761,0.75118,0.71357,0.73743,0.46116,1.27649,2.23933,1.04203,1.38874,0,0.001109,0.001109,0.001109
56,7542.88,1.0856,1.8778,0.909,1.3726,0,0.72712,0.68682,0.71414,0.4684,0.7357,0.69947,0.71866,0.44812,1.28505,2.26019,1.07281,1.40179,0,0.0010925,0.0010925,0.0010925
